epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,366.439,1.60588,2.23831,2.66566,1.71371,0.40517,0.34611,0.30436,0.10127,0.37764,0.34088,0.27389,0.07952,2.18681,1.94349,2.35457,2.17869,0.00333086,0.00333086,0.00333086
2,714.636,1.6184,1.91703,1.95192,1.6767,0.29473,0.37255,0.24286,0.08345,0.26248,0.33091,0.20773,0.06696,2.17089,1.92006,2.32153,2.16639,0.00666406,0.00666406,0.00666406
3,1037.02,1.75164,2.01346,2.19819,1.73706,0.20229,0.33081,0.17577,0.05785,0.19374,0.31211,0.16627,0.05118,2.26809,2.00435,2.61221,2.15634,0.00999673,0.00999673,0.00999673
4,1358.04,1.86944,2.12099,2.31592,1.81402,0.30948,0.40491,0.28389,0.10063,0.31211,0.37096,0.26942,0.08756,2.16574,2.01165,2.29923,2.18496,0.00999821,0.00999821,0.00999821
5,1678.35,1.86106,2.08774,2.18326,1.83061,0.32125,0.42204,0.28468,0.09977,0.31517,0.37304,0.26465,0.08637,2.13871,1.79452,2.14278,2.15225,0.00999681,0.00999681,0.00999681
6,1999.21,1.8279,2.02645,2.10763,1.80854,0.33858,0.40448,0.30715,0.10508,0.30929,0.37429,0.26882,0.08446,2.18397,1.77669,2.17341,2.19395,0.00999502,0.00999502,0.00999502
7,2319.06,1.77879,1.95398,1.98136,1.77442,0.35454,0.41492,0.3209,0.12094,0.3191,0.3708,0.28273,0.09477,2.09658,1.81064,2.05844,2.12417,0.00999282,0.00999282,0.00999282
8,2640.65,1.79124,1.99044,1.99701,1.78481,0.40381,0.44266,0.38376,0.14272,0.37669,0.43194,0.34695,0.11383,2.04943,1.73063,1.9731,2.09702,0.00999023,0.00999023,0.00999023
9,2962.22,1.74017,1.88352,1.88543,1.76403,0.40058,0.36807,0.32057,0.11631,0.34251,0.34487,0.27167,0.08999,2.12114,1.90948,2.26024,2.25369,0.00998724,0.00998724,0.00998724
10,3282,1.74879,1.87119,1.89121,1.7788,0.44683,0.48165,0.42058,0.15277,0.42448,0.45365,0.38827,0.12822,2.05111,1.64329,1.98849,2.10619,0.00998386,0.00998386,0.00998386
11,3603.59,1.73548,1.89797,1.85455,1.752,0.49137,0.41128,0.38916,0.1515,0.42712,0.38299,0.33313,0.11367,2.06717,1.76303,2.03216,2.04519,0.00998007,0.00998007,0.00998007
12,3924.38,1.70439,1.79145,1.80438,1.72607,0.4929,0.48252,0.45503,0.17538,0.47562,0.44691,0.40967,0.13764,2.00403,1.62909,1.79819,2.11665,0.00997589,0.00997589,0.00997589
13,4244.84,1.6987,1.78031,1.75204,1.71961,0.4754,0.48068,0.46551,0.18927,0.46699,0.44731,0.42576,0.1441,1.97826,1.56568,1.78222,2.06581,0.00997131,0.00997131,0.00997131
14,4566.37,1.66963,1.78599,1.73619,1.70176,0.47956,0.5257,0.50427,0.20813,0.47437,0.49802,0.4745,0.16553,1.95527,1.56466,1.7218,2.02934,0.00996634,0.00996634,0.00996634
15,4887.57,1.65592,1.76185,1.72162,1.69064,0.45926,0.48944,0.46684,0.18828,0.43839,0.47672,0.43253,0.15037,1.9444,1.63116,1.77723,2.00493,0.00996097,0.00996097,0.00996097
16,5207.82,1.64975,1.75549,1.67227,1.67516,0.5374,0.49258,0.50461,0.20789,0.50853,0.46467,0.45817,0.16765,1.90664,1.54276,1.71713,1.98466,0.0099552,0.0099552,0.0099552
17,5529.75,1.63391,1.72002,1.66166,1.68198,0.55564,0.44801,0.48555,0.20249,0.5305,0.43476,0.45424,0.16383,1.92473,1.56188,1.71198,2.00775,0.00994904,0.00994904,0.00994904
18,5849.73,1.63185,1.73271,1.68151,1.68418,0.50578,0.48932,0.49752,0.20488,0.48986,0.46911,0.46577,0.16513,1.91887,1.5235,1.68807,1.96814,0.00994248,0.00994248,0.00994248
19,6170.49,1.62762,1.72854,1.64036,1.67823,0.52074,0.51644,0.52435,0.22437,0.50486,0.49832,0.49036,0.17331,1.87675,1.51943,1.65852,1.92616,0.00993553,0.00993553,0.00993553
20,6491.57,1.63389,1.69956,1.59703,1.66884,0.57706,0.52228,0.55306,0.2291,0.5371,0.49568,0.50192,0.18073,1.88042,1.50817,1.63245,1.9115,0.00992819,0.00992819,0.00992819
21,6811.7,1.59825,1.64258,1.56624,1.642,0.55624,0.55238,0.56145,0.23098,0.52934,0.53343,0.51948,0.18849,1.91753,1.47875,1.56538,1.90908,0.00992045,0.00992045,0.00992045
22,7130.5,1.61592,1.66412,1.58186,1.66395,0.51713,0.50335,0.50017,0.21178,0.49372,0.48996,0.46422,0.16783,1.91907,1.54408,1.64338,1.98623,0.00991232,0.00991232,0.00991232
23,7451.32,1.60399,1.65146,1.54578,1.65889,0.52041,0.54039,0.53662,0.22621,0.50706,0.51561,0.49378,0.18028,1.87528,1.50844,1.58589,1.9323,0.0099038,0.0099038,0.0099038
24,7770.46,1.57161,1.67704,1.54376,1.63594,0.53963,0.55124,0.5463,0.23364,0.52421,0.53791,0.51193,0.18909,1.87838,1.46698,1.5813,1.91726,0.00989489,0.00989489,0.00989489
25,8091.31,1.57092,1.62171,1.51315,1.62344,0.59256,0.55149,0.55995,0.24019,0.55294,0.54456,0.51865,0.19432,1.84401,1.45416,1.60166,1.90702,0.00988559,0.00988559,0.00988559
26,8411.99,1.55463,1.63676,1.52454,1.62792,0.57011,0.53233,0.55689,0.232,0.53564,0.51254,0.50987,0.18801,1.87731,1.45082,1.59012,1.93226,0.00987589,0.00987589,0.00987589
27,8732.52,1.56301,1.59908,1.50217,1.63963,0.57549,0.49088,0.54371,0.23489,0.54914,0.46227,0.4933,0.18643,1.8245,1.48829,1.58108,1.88506,0.00986581,0.00986581,0.00986581
28,9059.72,1.56672,1.6297,1.4736,1.62988,0.54938,0.58874,0.58638,0.2514,0.53806,0.54165,0.5311,0.19853,1.82833,1.45292,1.55988,1.90571,0.00985534,0.00985534,0.00985534
29,9387.7,1.54771,1.58404,1.49205,1.61701,0.55267,0.57424,0.57574,0.25504,0.52367,0.57118,0.53621,0.20511,1.8413,1.4538,1.52718,1.88472,0.00984449,0.00984449,0.00984449
30,9716.26,1.53582,1.62561,1.47125,1.61513,0.54109,0.56746,0.57517,0.25811,0.51739,0.54563,0.54395,0.21259,1.80451,1.41883,1.51969,1.9034,0.00983324,0.00983324,0.00983324
31,10043.9,1.54519,1.59233,1.42858,1.62042,0.5436,0.55966,0.54759,0.2421,0.53119,0.53315,0.511,0.1974,1.85813,1.43736,1.5284,1.93177,0.00982162,0.00982162,0.00982162
32,10363.8,1.54975,1.62234,1.44945,1.62546,0.58683,0.58975,0.61379,0.26503,0.56752,0.56589,0.57147,0.21617,1.84945,1.4112,1.49507,1.92228,0.0098096,0.0098096,0.0098096
33,10684.5,1.54235,1.57705,1.4421,1.61459,0.57961,0.55677,0.5949,0.26274,0.56049,0.53361,0.55561,0.21915,1.80432,1.41179,1.48878,1.88283,0.00979721,0.00979721,0.00979721
34,11005.9,1.5132,1.55704,1.43277,1.59745,0.5652,0.56976,0.58373,0.26019,0.55825,0.52719,0.53339,0.19601,1.80482,1.42181,1.51538,1.88547,0.00978443,0.00978443,0.00978443
35,11327.4,1.53234,1.56794,1.42721,1.60173,0.58904,0.52684,0.58276,0.27171,0.56735,0.50444,0.53347,0.20901,1.80402,1.45208,1.53214,1.87285,0.00977127,0.00977127,0.00977127
36,11648.6,1.52813,1.54513,1.39325,1.6013,0.58287,0.58535,0.61347,0.27168,0.54872,0.55115,0.55744,0.21504,1.8092,1.41743,1.47993,1.89541,0.00975773,0.00975773,0.00975773
37,11969.5,1.51925,1.52373,1.41404,1.60063,0.59598,0.57863,0.59985,0.26683,0.56802,0.56523,0.56191,0.21734,1.7725,1.38866,1.51757,1.85021,0.00974381,0.00974381,0.00974381
38,12290.2,1.51054,1.54573,1.41127,1.59675,0.64092,0.58833,0.63053,0.27687,0.60114,0.57427,0.57311,0.21442,1.80093,1.42082,1.43984,1.85474,0.00972951,0.00972951,0.00972951
39,12612.6,1.5103,1.52557,1.39026,1.58821,0.59652,0.56825,0.60487,0.26898,0.57662,0.55848,0.56938,0.22453,1.80328,1.3859,1.44903,1.8648,0.00971484,0.00971484,0.00971484
40,12933.3,1.5162,1.5314,1.39291,1.57982,0.5953,0.61867,0.63237,0.28779,0.57295,0.59266,0.58142,0.2331,1.7888,1.37612,1.41764,1.84585,0.00969979,0.00969979,0.00969979
41,13253.6,1.50419,1.50714,1.3859,1.58402,0.62283,0.58415,0.6293,0.27629,0.59812,0.57575,0.59167,0.23455,1.79334,1.35487,1.45806,1.85467,0.00968436,0.00968436,0.00968436
42,13574.5,1.49325,1.49974,1.3493,1.57173,0.59329,0.59861,0.63173,0.28101,0.5681,0.57062,0.57759,0.22461,1.79968,1.35978,1.42357,1.87431,0.00966856,0.00966856,0.00966856
43,13897.5,1.5036,1.49606,1.35314,1.58801,0.57495,0.62076,0.63468,0.29127,0.55021,0.59525,0.58665,0.22795,1.76976,1.37088,1.43662,1.83758,0.00965239,0.00965239,0.00965239
